dataset,model,detector,treatment,mean,std,train_size,removed,removed_pct,clipped_values,clipped_rows,clipped_pct,outlier_pct,time
eucalyptus,mlp,IsolationForest,remove,0.529730,0.023639,446,23.80,0.050638,0.00,0.00,0.000000,0.050638,0.512
eucalyptus,mlp,LOF,remove,0.545946,0.020672,446,23.80,0.050638,0.00,0.00,0.000000,0.050638,0.514
eucalyptus,mlp,Autoencoder,remove,0.527027,0.012087,445,24.40,0.051915,0.00,0.00,0.000000,0.051915,0.510
eucalyptus,xgboost,None,remove,0.582432,0.033485,470,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.169
eucalyptus,xgboost,ZScore,remove,0.563514,0.025137,457,12.40,0.026383,0.00,0.00,0.000000,0.026383,0.165
eucalyptus,xgboost,ZScore,clip,0.545946,0.050454,470,0.00,0.000000,386.00,85.80,0.182553,0.182553,0.166
eucalyptus,xgboost,Percentile,remove,0.479730,0.030816,316,153.40,0.326383,0.00,0.00,0.000000,0.326383,0.133
eucalyptus,xgboost,Percentile,clip,0.520270,0.018130,470,0.00,0.000000,583.00,191.60,0.407660,0.407660,0.167
eucalyptus,xgboost,IsolationForest,remove,0.556757,0.039767,446,23.80,0.050638,0.00,0.00,0.000000,0.050638,0.163
eucalyptus,xgboost,LOF,remove,0.560811,0.032824,446,23.80,0.050638,0.00,0.00,0.000000,0.050638,0.165
eucalyptus,xgboost,Autoencoder,remove,0.581081,0.034453,445,24.40,0.051915,0.00,0.00,0.000000,0.051915,0.165
eucalyptus,randomforest,None,remove,0.578378,0.030096,470,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.223
eucalyptus,randomforest,ZScore,remove,0.590541,0.038365,457,12.40,0.026383,0.00,0.00,0.000000,0.026383,0.219
eucalyptus,randomforest,ZScore,clip,0.589189,0.048611,470,0.00,0.000000,386.00,85.80,0.182553,0.182553,0.220
eucalyptus,randomforest,Percentile,remove,0.498649,0.028794,316,153.40,0.326383,0.00,0.00,0.000000,0.326383,0.196
eucalyptus,randomforest,Percentile,clip,0.535135,0.023946,470,0.00,0.000000,583.00,191.60,0.407660,0.407660,0.222
eucalyptus,randomforest,IsolationForest,remove,0.554054,0.033919,446,23.80,0.050638,0.00,0.00,0.000000,0.050638,0.215
