dataset,model,outlier,mean,std,min,max,train_size,removed,removed_pct,time
pol,mlp,IsolationForest,0.98552,0.00173,0.98364,0.98761,6452,323.00,0.0501,2.923
pol,mlp,IQR,0.61011,0.00482,0.60337,0.61626,6452,5671.00,0.8790,0.291
pol,xgboost,None,0.98413,0.00000,0.98413,0.98413,6452,0.00,0.0000,0.069
pol,xgboost,ZScore,0.89043,0.00000,0.89043,0.89043,6452,2310.00,0.3580,0.108
pol,xgboost,IsolationForest,0.98354,0.00085,0.98215,0.98463,6452,323.00,0.0501,0.066
pol,xgboost,IQR,0.69856,0.00000,0.69856,0.69856,6452,5671.00,0.8790,0.020
pol,randomforest,None,0.98235,0.00097,0.98066,0.98364,6452,0.00,0.0000,0.450
pol,randomforest,ZScore,0.89460,0.00156,0.89241,0.89688,6452,2310.00,0.3580,0.262
pol,randomforest,IsolationForest,0.98225,0.00085,0.98066,0.98314,6452,323.00,0.0501,0.415
pol,randomforest,IQR,0.68964,0.00193,0.68765,0.69311,6452,5671.00,0.8790,0.082
vehicle,mlp,None,0.83647,0.01141,0.81765,0.84706,540,0.00,0.0000,0.467
vehicle,mlp,ZScore,0.82235,0.00865,0.80588,0.82941,540,18.00,0.0333,0.468
vehicle,mlp,IsolationForest,0.84000,0.00865,0.82941,0.85294,540,27.00,0.0500,0.464
vehicle,mlp,IQR,0.80353,0.01211,0.78235,0.81765,540,28.00,0.0519,0.564
vehicle,xgboost,None,0.77647,0.00000,0.77647,0.77647,540,0.00,0.0000,0.120
vehicle,xgboost,ZScore,0.75294,0.00000,0.75294,0.75294,540,18.00,0.0333,0.142
vehicle,xgboost,IsolationForest,0.76000,0.00941,0.74706,0.77647,540,27.00,0.0500,0.138
vehicle,xgboost,IQR,0.75882,0.00000,0.75882,0.75882,540,28.00,0.0519,0.121
vehicle,randomforest,None,0.73294,0.01153,0.71765,0.75294,540,0.00,0.0000,0.115
vehicle,randomforest,ZScore,0.72941,0.01441,0.71176,0.75294,540,18.00,0.0333,0.114
vehicle,randomforest,IsolationForest,0.72471,0.01460,0.70000,0.74118,540,27.00,0.0500,0.112
vehicle,randomforest,IQR,0.72235,0.01552,0.70588,0.74706,540,28.00,0.0519,0.116
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.263
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.098
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.113
credit-g,mlp,None,0.46000,0.19596,0.30000,0.70000,640,0.00,0.0000,0.043
credit-g,mlp,ZScore,0.46000,0.19596,0.30000,0.70000,640,0.00,0.0000,0.043
credit-g,xgboost,None,0.70000,0.00000,0.70000,0.70000,640,0.00,0.0000,0.039
credit-g,xgboost,ZScore,0.70000,0.00000,0.70000,0.70000,640,0.00,0.0000,0.046
credit-g,randomforest,None,0.70700,0.00872,0.70000,0.72000,640,0.00,0.0000,0.102
credit-g,randomforest,ZScore,0.70700,0.00872,0.70000,0.72000,640,0.00,0.0000,0.096
electricity,mlp,None,0.78413,0.00224,0.78054,0.78672,28999,0.00,0.0000,5.790
